year,male_deaths,female_deaths,total_deaths
2007,289550,270100,559650
2008,294120,271530,565650
2009,292540,269800,562340
2010,299200,270290,569490
2011,300430,271520,571950
2012,301820,275370,577190
2013,306920,273430,580350
2014,310010,275710,585720
2015,312150,277280,589430
2016,314290,281400,595690
2017,318420,282500,600920
2018,323630,286010,609640
2019,321670,285210,606880
2020,321160,285160,606320
2021,319420,289150,608570
2022,322090,287270,609360
2023,322080,287740,609820
2024,322800,288920,611720
